#name,mu,dmu,z heliocentric,z cmb,error,ra,dec,survey,type,known error?
2010Y,33.8227005,0.1819999963,0.01086500008,0.01198299974,0,162.7666473,65.77955627,CfA4,H,no
2010dt,36.9455986,0.1323000044,0.05289199948,0.05309399962,0,250.8127594,32.67432022,CfA4,H,no
PTF10bjs,35.24779892,0.3934000134,0.02999700047,0.03060800023,0,195.2967224,53.81596756,CfA4,H,no
2004ef,35.53609848,0.1149000004,0.03098000027,0.02969603986,0.00001999999949,340.54175,19.99456,CSP,H,yes
2004eo,33.97119904,0.1559000015,0.01569999941,0.01502337959,0.00001999999949,308.22579,9.92853,CSP,H,yes
2004ey,34.05599976,0.1539999992,0.01579000056,0.01511192974,0.00001999999949,327.28254,0.44422,CSP,H,yes
2004gu,36.52249908,0.1090999991,0.04585999995,0.04727895185,0.0001900000061,191.603,11.94892,CSP,H,yes
2005be,35.895401,0.1186999977,0.03356,0.03639687,0.00001,224.8860016,16.66990089,CSP,H,yes
2005bo,33.93389893,0.1572999954,0.01389999967,0.01487411,0.00002999999924,192.42096,-11.09647,CSP,H,yes
2005el,34.08750153,0.1571999937,0.01491000038,0.01483356021,0.00001999999949,77.953,5.19428,CSP,H,yes
2005eq,35.58330154,0.1164999977,0.02897999994,0.0278828498,0.00007000000187,47.20546,-7.03325,CSP,H,yes
2005iq,35.96780014,0.1093999967,0.03404000029,0.03341209888,0.000119999997,359.63542,-18.70917,CSP,H,yes
2005kc,34.02640152,0.1606999934,0.01511999965,0.01415915973,0.00001999999949,338.53058,5.56842,CSP,H,yes
2005M,35.21490097,0.1228,0.02463999949,0.02558544092,0.00009000000136,144.38483,23.20075,CSP,H,yes
2006bh,33.37099838,0.1932999939,0.0108500002,0.01096701995,0.000009999999747,340.06708,-66.48508,CSP,H,yes
2006ef,34.45259857,0.1503999978,0.0178999994,0.01726601087,0.00005999999848,31.08129,-8.72839,CSP,H,yes
2006ej,34.66230011,0.1361999959,0.02044999972,0.01996280067,0.00009999999747,9.74904,-9.01572,CSP,H,yes
2006eq,36.79550171,0.114699997,0.04950999841,0.04793030024,0.00001499999962,322.15471,1.22811,CSP,H,yes
2006et,34.76810074,0.1262000054,0.02263999917,0.02217067033,0.0001500000071,10.69092,-23.55844,CSP,H,yes
2006ev,35.70640182,0.119599998,0.02872999944,0.02764270082,0.00001999999949,322.74692,13.98922,CSP,H,yes
